"character","ascension","runs","wins","winRate"
"Defect",0,8,1,12.5
"Ironclad",0,8,2,25.0
"Necrobinder",0,14,2,14.3
"Regent",0,14,0,0.0
"Silent",0,10,4,40.0
"Defect",1,8,1,12.5
"Necrobinder",1,4,1,25.0
"Regent",1,4,3,75.0
"Silent",1,6,2,33.3
"Defect",2,3,2,66.7
"Necrobinder",2,3,1,33.3
"Silent",2,2,2,100.0
"Defect",3,6,2,33.3
"Ironclad",3,2,1,50.0
"Necrobinder",3,7,1,14.3
"Silent",3,5,1,20.0
"Defect",4,6,3,50.0
"Regent",4,1,1,100.0
"Silent",4,4,1,25.0
"Defect",5,17,3,17.6
"Silent",5,7,1,14.3
"Defect",6,13,2,15.4
"Silent",6,2,1,50.0
"Defect",7,2,2,100.0
"Silent",7,4,1,25.0
"Defect",8,15,2,13.3
"Silent",8,2,1,50.0
"Defect",9,18,2,11.1
"Silent",9,2,0,0.0
"Defect",10,9,2,22.2